LP	source	translation	reference	HUMAN_score	sentBLEU
de-en	Putyin úr kihúzta magát, azzal vádolva Ankarat, hogy a hátsó részében Moszkvát szúrta.	putin distributed and accused ankara of , russia in the backs pleases to be .	mr putin lashed out , accusing ankara of stabbing moscow in the back .	-1.78746092838292	0.153102
de-en	Mikor fizetnek a szervezők, ha betegség sztrájkol?	disease case : when paying the organiser	when do organisers pay if illness strikes ?	-1.61138508242201	0.161023
de-en	A társaság szóvivője pénteken nem adott további részleteket.	details didn &apos;t want to call a corporate speaker on friday .	a company spokesman did not give further details on friday .	-1.42485085692534	0.214016
de-en	Mr. Coe másodpercekig visszatért, és harmadát.	coe repeated three times as a reference .	mr. coe went back for seconds , and thirds .	-1.3974045457457098	0.138217
de-en	Az Apple és az ázsiai szolgáltatók, mint például a Samsung, mostantól ingataggal bírnak.	sawing now has apple and asian operators like samsung .	apple , and asian providers such as samsung , now hold sway .	-1.38628368437865	0.151902
de-en	"A baloldal, Bernd Riexinger, azt mondta, hogy ""a zökkenőmentes beszélgetés és a lakóhelyi törvények szigorítása nem teszi az ország lakosságát biztonságosabbá""."	left party boss bernd riexinger said : &quot; fleet contradictions and an intensification of the right of residence to bring the people in this country &quot; .	head of the left , bernd riexinger , said that &quot; smooth talking and tightening up residency laws are not going to make the people in this country any more safe &quot; .	-1.36261132560312	0.192226
de-en	De mi köze van a lakóhelynek a terrorizmushoz?	but what is a tolerance status with terror ?	but what does residential status have to do with terrorism ?	-1.35027808972263	0.17687999999999998
de-en	Ennek eredményeként a kutatók keveset tudnak arról, hogyan élnek grönlandi cápák.	about the lifestyle of the greenland sharks researchers know according to few .	as a result , researchers know little about how greenland sharks live .	-1.28908929548885	0.17194700000000002
de-en	Olimpia: döbbenetes csalás a doppingtesztekben	olympia : threesty fraud in doping test	olympics : brazen cheating in doping tests	-1.28365602028727	0.262691
de-en	A dopping által sújtott nemzet szinte minden súlyemelőinek nem engedélyezték a részvételt Rioban.	for example , all weights from the chronically tracted nation must not take part in rio .	almost all the weightlifters from the nation , which has been plagued by doping , were not allowed to participate in rio .	-1.26162371792771	0.127647
de-en	A lassú sebességet a Svalbard-i kutatók mérik, akik hat állatot felszereltek egy nyomkövetővel.	her timeless pace measures them when they equipped six animals with a broadcaster before spitsbergen .	their slow speed was measured by researchers off svalbard , who fitted six animals with a tracker .	-1.2190599546198302	0.197746
de-en	Langer a 18. személy, aki elnyerte a sport piramisot.	is longer the 18 . winner of the sport pyramid .	langer is the 18th person to be awarded the sport pyramid .	-1.20493799451994	0.31487800000000005
de-en	Kinek kell menni egy alváslaborba, és mi történik ott?	who should get into the mess and what happened ?	who should go to a sleep lab , and what happens there ?	-1.17233441137078	0.161752
de-en	A lassú sebességet a Svalbard-i kutatók mérik, akik hat állatot felszereltek egy nyomkövetővel.	her pace of timing , when they announced six animals with a station before spitsbergen-altitude peaks .	their slow speed was measured by researchers off svalbard , who fitted six animals with a tracker .	-1.1626140277839698	0.206204
de-en	Ha valaki, akit máris ismersz, énekel egy kórusban az idősek számára, akkor vele járhat.	sings someone from the familiar circle in a senior chorus , you can easily join .	if someone you know already sings in a choir for the elderly , you can just go along with them .	-1.1539312705686002	0.141533
de-en	Moszkva akkori reakciója dühös volt.	moscow &apos;s response at the time was wrapped up .	moscow &apos;s reaction at the time was furious .	-1.1532688005786202	0.417226
de-en	Hihetetlenül alacsonyan repült a portugál P-3C Orion légierő repülőgépe	a portuguese-based p-3c orion aircraft of the air force put down an incredible storm flight	a portuguese air force p-3c orion plane swooped in incredibly low	-1.1379495267115	0.142478
de-en	Az állami televízióban Putyin elnökkel tartott találkozón mindkét férfi azt állította, hogy a vezérkari fõnök a saját kérésére lép fel.	at a meeting with president putin , broadcast on television , both men claimed the stabbing would resign on their own request .	in a meeting with president putin shown on state television both men claimed that the chief of staff was stepping down at his own request .	-1.1236925563288	0.278687
de-en	Ma valaki figyelt ezekre a srácokra.	someone woke up today about these men .	someone was watching over these guys today .	-1.11924828163556	0.201649
de-en	A nőkből álló csapatok főtt férfi mezőgazdasági dolgozóknak főztek, és frissen sült tortát szolgáltak fel reggelire, ebédre és vacsorára.	teams of women coined for male feldarmen and it was served with freshly baked pastes for breakfast , lunch and dinner .	teams of women cooked for male farmworkers , and fresh-baked pie was served at breakfast , lunch and dinner .	-1.11915403260427	0.360766
de-en	Az ország atlétika a 2015-ös pekingi világbajnokságon nyerte a legtöbb érmet.	the light athletes of the country won most medals at the wm 2015 in peking .	the country &apos;s track and field athletes won the most medals at the 2015 world championships in beijing .	-1.10800857069783	0.238308
de-en	Az elmúlt néhány hónapban Németországban nem érzem magam biztonságban első ízben.	i don &apos;t feel in the last few months , for the first time , certainly in germany .	over the past few months , i have no longer felt safe in germany for the first time .	-1.1074249880675902	0.281291
de-en	Kihagyta a 2008-as olimpiát, amikor nem végezte el a végső beosztás befejezését.	you missed the olympics in 2008 , because they could not qualify for the squad .	she missed out on the 2008 olympics when she did not make the cut for the final roster .	-1.09950777423858	0.110456
de-en	Mr. Coe másodpercekig visszatért, és harmadát.	coe took a hit three times .	mr. coe went back for seconds , and thirds .	-1.09152568158111	0.133914
de-en	Regine Kunde a munkacsoportból elmondta, hogy az önkéntesek több mint hálásak azért, hogy a Deuschle most már mindenki számára elérhetővé teszi a nehézségekkel küzdő emberek munkáját.	regine &apos;s client from the working group suggests that the volunteers are more than thankful that deuschle is now there , the egg legend woolly trades , which has above all a problem .	regine kunde from the working group said that the volunteers are more than grateful that deuschle is now available to work as a jack-of-all-trades to help anyone experiencing difficulties .	-1.0864211885566	0.310391
de-en	2016. szeptember 4-ig, a választási napig és az ünnepek utolsó napjáig a Mecklenburg-Elő-Pomeránia lakosságának újabb választásokat kell felbocsátania anélkül, hogy az emberekkel konzultálni kellene.	until september 4 , 2016 , the election and final day of the day , mecklenburg-vorpommern will have to leave the race just short of the people .	until 4 september 2016 , election day and the last day of the holidays , people in mecklenburg-vorpommern must put up with one more election without the people being consulted .	-1.08475640059434	0.11976
de-en	A depresszió depressziós étele, `` négyzetes étkezés ''	the depressing meal of the economic crisis in a rich meal	the depressing food of the depression , in &quot; a square meal &quot;	-1.04497995469943	0.176761
de-en	Egyáltalán nem kell felkészülnie a vizsgára.	for the investigation to prepare one does not have itself actually .	you don &apos;t have to prepare for the examination at all .	-1.03349779275628	0.187036
de-en	Ha úgy gondolja, hogy ez megáll, amint érkeznek Németországba, akkor tévedsz - mondja Bahr.	who thinks that the end as soon as they arrive in germany , tells bahr .	if you think that this stops as soon as they arrive in germany , you &apos;d be wrong , says bahr .	-1.0108609707209202	0.364847
de-en	A Rigauer új épületeinek nagy részét ennek a fejlõdésnek a szimbólumainak tekintik: Ez nyilvánvaló a törött ablakaikból vagy a frissen festett homlokzatokból, amelyeket festékbomba robbant.	many of the buildings in riga are attacked as symbols of this development : they have inserted slices or freshly painted facades that were thrown at bags with the color .	many of the new buildings in rigauer are seen as symbols of this development : this is clear from their broken windows or freshly painted facades splattered by paint bombs .	-0.997247598572057	0.316316
de-en	Még akkor is, ha Greenpointba költözött, mégis megteszi a trekket.	even after they had moved to greenpoint , would you take the path up .	even after she moved to greenpoint , she would still make the trek .	-0.991710822698228	0.287879
