LP	source	translation	reference	HUMAN_score	sentBLEU
de-en	プーチン氏は暴力を振るい、後ろでモスクワを突き刺したアンカラを非難した。	putin distributed and accused ankara of , russia in the backs pleases to be .	mr putin lashed out , accusing ankara of stabbing moscow in the back .	-1.78746092838292	0.153102
de-en	病気になった場合、主催者はいつ支払いますか？	disease case : when paying the organiser	when do organisers pay if illness strikes ?	-1.61138508242201	0.161023
de-en	会社の広報担当者は金曜日にこれ以上の詳細を明らかにしなかった。	details didn &apos;t want to call a corporate speaker on friday .	a company spokesman did not give further details on friday .	-1.42485085692534	0.214016
de-en	コー氏は数秒、そして三度戻った。	coe repeated three times as a reference .	mr. coe went back for seconds , and thirds .	-1.3974045457457098	0.138217
de-en	アップル、およびサムスンなどのアジアのプロバイダーが現在支配的です。	sawing now has apple and asian operators like samsung .	apple , and asian providers such as samsung , now hold sway .	-1.38628368437865	0.151902
de-en	左首のBernd Riexinger氏は、「スムーズな話し合いと居住法の強化は、この国の人々をこれ以上安全にすることにはならない」と語った。	left party boss bernd riexinger said : &quot; fleet contradictions and an intensification of the right of residence to bring the people in this country &quot; .	head of the left , bernd riexinger , said that &quot; smooth talking and tightening up residency laws are not going to make the people in this country any more safe &quot; .	-1.36261132560312	0.192226
de-en	しかし、居住地はテロとどのように関係しているのでしょうか？	but what is a tolerance status with terror ?	but what does residential status have to do with terrorism ?	-1.35027808972263	0.17687999999999998
de-en	その結果、研究者はグリーンランドのサメがどのように生きるかについてほとんど知りません。	about the lifestyle of the greenland sharks researchers know according to few .	as a result , researchers know little about how greenland sharks live .	-1.28908929548885	0.17194700000000002
de-en	オリンピック：ドーピングテストでの不正行為	olympia : threesty fraud in doping test	olympics : brazen cheating in doping tests	-1.28365602028727	0.262691
de-en	ドーピングに悩まされている国からのほとんどすべての重量挙げ選手は、リオへの参加を許可されませんでした。	for example , all weights from the chronically tracted nation must not take part in rio .	almost all the weightlifters from the nation , which has been plagued by doping , were not allowed to participate in rio .	-1.26162371792771	0.127647
de-en	それらの遅い速度は、6匹の動物にトラッカーを取り付けたスバールバル沖の研究者によって測定されました。	her timeless pace measures them when they equipped six animals with a broadcaster before spitsbergen .	their slow speed was measured by researchers off svalbard , who fitted six animals with a tracker .	-1.2190599546198302	0.197746
de-en	ランガーはスポーツピラミッドを授与される18人目です。	is longer the 18 . winner of the sport pyramid .	langer is the 18th person to be awarded the sport pyramid .	-1.20493799451994	0.31487800000000005
de-en	誰が睡眠実験室に行くべきですか？そこで何が起こりますか？	who should get into the mess and what happened ?	who should go to a sleep lab , and what happens there ?	-1.17233441137078	0.161752
de-en	それらの遅い速度は、6匹の動物にトラッカーを取り付けたスバールバル沖の研究者によって測定されました。	her pace of timing , when they announced six animals with a station before spitsbergen-altitude peaks .	their slow speed was measured by researchers off svalbard , who fitted six animals with a tracker .	-1.1626140277839698	0.206204
