LP	source	translation	reference	HUMAN_score	sentBLEU
de-en	Pak Putin ngoyak, sing nuduh Ankara saka Stabbing Moscow ing mburi.	putin distributed and accused ankara of , russia in the backs pleases to be .	mr putin lashed out , accusing ankara of stabbing moscow in the back .	-1.78746092838292	0.153102
de-en	Kapan Penganjur mbayar yen lara penyakit?	disease case : when paying the organiser	when do organisers pay if illness strikes ?	-1.61138508242201	0.161023
de-en	Juru bicara perusahaan ora menehi katrangan luwih lengkap ing dina Jumuah.	details didn &apos;t want to call a corporate speaker on friday .	a company spokesman did not give further details on friday .	-1.42485085692534	0.214016
de-en	Coe mundur sekedhik, kaping telun.	coe repeated three times as a reference .	mr. coe went back for seconds , and thirds .	-1.3974045457457098	0.138217
de-en	Panyedhiya Apple, lan Asia kayata Samsung, saiki saya gedhe.	sawing now has apple and asian operators like samsung .	apple , and asian providers such as samsung , now hold sway .	-1.38628368437865	0.151902
de-en	Kepala kiwa, Bernd Riexinger, ujar manawa, ukara lancar lan kenceng angger-angger Residensi ora bakal ndadekake masarakat luwih aman ing negara iki.	left party boss bernd riexinger said : &quot; fleet contradictions and an intensification of the right of residence to bring the people in this country &quot; .	head of the left , bernd riexinger , said that &quot; smooth talking and tightening up residency laws are not going to make the people in this country any more safe &quot; .	-1.36261132560312	0.192226
de-en	Nanging apa hubungane karo omah ing terorisme?	but what is a tolerance status with terror ?	but what does residential status have to do with terrorism ?	-1.35027808972263	0.17687999999999998
de-en	Asile, peneliti ora ngerti babagan carane jerone Greenland.	about the lifestyle of the greenland sharks researchers know according to few .	as a result , researchers know little about how greenland sharks live .	-1.28908929548885	0.17194700000000002
de-en	Olimpiade: kurang ajar ing tes Doping	olympia : threesty fraud in doping test	olympics : brazen cheating in doping tests	-1.28365602028727	0.262691
de-en	Meh kabeh bobot pengangkatan saka bangsa, sing dibanting Doping, ora diidini melu ing Rio.	for example , all weights from the chronically tracted nation must not take part in rio .	almost all the weightlifters from the nation , which has been plagued by doping , were not allowed to participate in rio .	-1.26162371792771	0.127647
de-en	Kecepatan alon sing diukur dening peneliti mateni Svalbard, sing nyiapake enem kewan karo Tracker.	her timeless pace measures them when they equipped six animals with a broadcaster before spitsbergen .	their slow speed was measured by researchers off svalbard , who fitted six animals with a tracker .	-1.2190599546198302	0.197746
de-en	Langer minangka wong nomer 18 sing dianugerahi piramida olahraga.	is longer the 18 . winner of the sport pyramid .	langer is the 18th person to be awarded the sport pyramid .	-1.20493799451994	0.31487800000000005
de-en	Sapa sing kudu menyang laboratorium turu, lan apa sing kedadeyan ing kana?	who should get into the mess and what happened ?	who should go to a sleep lab , and what happens there ?	-1.17233441137078	0.161752
de-en	Kecepatan alon sing diukur dening peneliti mateni Svalbard, sing nyiapake enem kewan karo Tracker.	her pace of timing , when they announced six animals with a station before spitsbergen-altitude peaks .	their slow speed was measured by researchers off svalbard , who fitted six animals with a tracker .	-1.1626140277839698	0.206204
de-en	Yen ana wong sing ngerti wis nyanyi ing koor kanggo wong tuwa, sampeyan bisa uga melu.	sings someone from the familiar circle in a senior chorus , you can easily join .	if someone you know already sings in a choir for the elderly , you can just go along with them .	-1.1539312705686002	0.141533
de-en	Reaksi Mosk ing wektu kasebut nesu.	moscow &apos;s response at the time was wrapped up .	moscow &apos;s reaction at the time was furious .	-1.1532688005786202	0.417226
de-en	Pesawat Portugis Angkatan Udara Portugis P-3C Orion mabur kanthi murah banget	a portuguese-based p-3c orion aircraft of the air force put down an incredible storm flight	a portuguese air force p-3c orion plane swooped in incredibly low	-1.1379495267115	0.142478
de-en	Ing rapat karo Presiden Putin sing ditampilake ing televisi negara loro kasebut ngaku manawa pimpinan staf kasebut mudhun ing panjaluke dhewe.	at a meeting with president putin , broadcast on television , both men claimed the stabbing would resign on their own request .	in a meeting with president putin shown on state television both men claimed that the chief of staff was stepping down at his own request .	-1.1236925563288	0.278687
de-en	Ana sing nonton dina iki.	someone woke up today about these men .	someone was watching over these guys today .	-1.11924828163556	0.201649
de-en	Para tim wanita sing wis masak kanggo Tukang Petani lanang, lan pai-Baked sing diombe ing sarapan, nedha awan lan nedha bengi.	teams of women coined for male feldarmen and it was served with freshly baked pastes for breakfast , lunch and dinner .	teams of women cooked for male farmworkers , and fresh-baked pie was served at breakfast , lunch and dinner .	-1.11915403260427	0.360766
de-en	Atlit trek lan lapangan negara menang medali paling gedhe ing juara donya 2015 ing Beijing.	the light athletes of the country won most medals at the wm 2015 in peking .	the country &apos;s track and field athletes won the most medals at the 2015 world championships in beijing .	-1.10800857069783	0.238308
