LP	source	translation	reference	HUMAN_score	sentBLEU
de-en	푸틴 대통령은 뒤에서 스테이 빙 모스크바의 앙카라를 비난하면서 돌진했다.	putin distributed and accused ankara of , russia in the backs pleases to be .	mr putin lashed out , accusing ankara of stabbing moscow in the back .	-1.78746092838292	0.153102
de-en	질병이 발생하면 주최자는 언제 지불합니까?	disease case : when paying the organiser	when do organisers pay if illness strikes ?	-1.61138508242201	0.161023
de-en	회사 대변인은 금요일에 더 자세한 내용을 밝히지 않았다.	details didn &apos;t want to call a corporate speaker on friday .	a company spokesman did not give further details on friday .	-1.42485085692534	0.214016
de-en	미스터 코는 몇 초, 3 분 동안 돌아갔다.	coe repeated three times as a reference .	mr. coe went back for seconds , and thirds .	-1.3974045457457098	0.138217
de-en	애플과 삼성과 같은 아시아 업체들은 이제 흔들리고있다.	sawing now has apple and asian operators like samsung .	apple , and asian providers such as samsung , now hold sway .	-1.38628368437865	0.151902
de-en	왼쪽의 머리, Bernd Riexinger는 말했다.	left party boss bernd riexinger said : &quot; fleet contradictions and an intensification of the right of residence to bring the people in this country &quot; .	head of the left , bernd riexinger , said that &quot; smooth talking and tightening up residency laws are not going to make the people in this country any more safe &quot; .	-1.36261132560312	0.192226
de-en	그러나 주거 상태는 테러와 어떤 관련이 있습니까?	but what is a tolerance status with terror ?	but what does residential status have to do with terrorism ?	-1.35027808972263	0.17687999999999998
de-en	결과적으로 연구원들은 그린란드 상어가 어떻게 사는지 거의 알지 못합니다.	about the lifestyle of the greenland sharks researchers know according to few .	as a result , researchers know little about how greenland sharks live .	-1.28908929548885	0.17194700000000002
de-en	올림픽 : 도핑 테스트에서 뻔뻔스러운 부정 행위	olympia : threesty fraud in doping test	olympics : brazen cheating in doping tests	-1.28365602028727	0.262691
de-en	도핑에 시달리고있는 거의 모든 역도 선수들은 리오에 참가할 수 없었다.	for example , all weights from the chronically tracted nation must not take part in rio .	almost all the weightlifters from the nation , which has been plagued by doping , were not allowed to participate in rio .	-1.26162371792771	0.127647
de-en	그들의 속도는 스발 바르 (Svalbard) 출신의 연구원들에 의해 측정되었으며, 6 명의 동물에 추적기를 장착했습니다.	her timeless pace measures them when they equipped six animals with a broadcaster before spitsbergen .	their slow speed was measured by researchers off svalbard , who fitted six animals with a tracker .	-1.2190599546198302	0.197746
de-en	랭 거는 18 번째로 스포츠 피라미드를 수상했습니다.	is longer the 18 . winner of the sport pyramid .	langer is the 18th person to be awarded the sport pyramid .	-1.20493799451994	0.31487800000000005
de-en	누가 수면 실험실에 가야합니까?	who should get into the mess and what happened ?	who should go to a sleep lab , and what happens there ?	-1.17233441137078	0.161752
de-en	그들의 속도는 스발 바르 (Svalbard) 출신의 연구원들에 의해 측정되었으며, 6 명의 동물에 추적기를 장착했습니다.	her pace of timing , when they announced six animals with a station before spitsbergen-altitude peaks .	their slow speed was measured by researchers off svalbard , who fitted six animals with a tracker .	-1.1626140277839698	0.206204
de-en	아는 사람이 이미 노인을위한 합창단에서 노래를 부르면 함께 갈 수 있습니다.	sings someone from the familiar circle in a senior chorus , you can easily join .	if someone you know already sings in a choir for the elderly , you can just go along with them .	-1.1539312705686002	0.141533
de-en	당시 모스크바의 반응은 격렬했다.	moscow &apos;s response at the time was wrapped up .	moscow &apos;s reaction at the time was furious .	-1.1532688005786202	0.417226
