LP	source	translation	reference	HUMAN_score	sentBLEU
de-en	Putin menyerang, menuduh Ankara menikam Moscow di belakang.	putin distributed and accused ankara of , russia in the backs pleases to be .	mr putin lashed out , accusing ankara of stabbing moscow in the back .	-1.78746092838292	0.153102
de-en	Bilakah Penganjur membayar jika penyakit melanda?	disease case : when paying the organiser	when do organisers pay if illness strikes ?	-1.61138508242201	0.161023
de-en	Jurucakap syarikat tidak memberikan keterangan lebih lanjut pada hari Jumaat.	details didn &apos;t want to call a corporate speaker on friday .	a company spokesman did not give further details on friday .	-1.42485085692534	0.214016
de-en	Coe kembali beberapa saat, dan ketiga.	coe repeated three times as a reference .	mr. coe went back for seconds , and thirds .	-1.3974045457457098	0.138217
de-en	Apple, dan penyedia Asia seperti Samsung, kini berkuasa.	sawing now has apple and asian operators like samsung .	apple , and asian providers such as samsung , now hold sway .	-1.38628368437865	0.151902
de-en	"Ketua kiri, Bernd Riexinger, mengatakan bahawa ""berbicara dengan lancar dan memperketat undang-undang Residensi tidak akan membuat orang di negara ini menjadi lebih aman""."	left party boss bernd riexinger said : &quot; fleet contradictions and an intensification of the right of residence to bring the people in this country &quot; .	head of the left , bernd riexinger , said that &quot; smooth talking and tightening up residency laws are not going to make the people in this country any more safe &quot; .	-1.36261132560312	0.192226
de-en	Tetapi apa kaitan status kediaman dengan keganasan?	but what is a tolerance status with terror ?	but what does residential status have to do with terrorism ?	-1.35027808972263	0.17687999999999998
de-en	Hasilnya, penyelidik tidak banyak mengetahui bagaimana hiu Greenland hidup.	about the lifestyle of the greenland sharks researchers know according to few .	as a result , researchers know little about how greenland sharks live .	-1.28908929548885	0.17194700000000002
de-en	Olimpik: kecurangan kurang ajar dalam ujian Doping	olympia : threesty fraud in doping test	olympics : brazen cheating in doping tests	-1.28365602028727	0.262691
de-en	Hampir semua Angkat Berat dari negara itu, yang telah didera oleh Doping, tidak diizinkan untuk berpartisipasi di Rio.	for example , all weights from the chronically tracted nation must not take part in rio .	almost all the weightlifters from the nation , which has been plagued by doping , were not allowed to participate in rio .	-1.26162371792771	0.127647
